ID	MSG_ID	SEND_TIME	CONFIRM_TIME	STATUS	STATUS_TEXT	MSG_KEY	READ_COUNT	SIMULATION
"10,000"	"2,199,103"	"2022-05-06 09:15:49.000"	"2022-05-06 09:15:49.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,001"	"2,199,110"	"2022-05-06 09:15:49.000"	"2022-05-06 09:15:49.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,002"	"2,199,161"	"2022-05-06 09:15:49.000"	"2022-05-06 09:15:49.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,003"	"2,199,103"	"2022-05-06 09:15:49.000"	"2022-05-06 09:15:49.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,004"	"2,199,161"	"2022-05-06 09:15:49.000"	"2022-05-06 09:15:49.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,005"	"2,199,161"	"2022-05-06 09:15:51.000"	"2022-05-06 09:15:51.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,006"	"2,199,161"	"2022-05-06 09:15:52.000"	"2022-05-06 09:15:52.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,007"	"2,199,103"	"2022-05-06 09:16:07.000"	"2022-05-06 09:16:07.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,008"	"2,199,102"	"2022-05-06 09:16:07.000"	"2022-05-06 09:16:07.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,009"	"2,199,103"	"2022-05-06 09:16:07.000"	"2022-05-06 09:16:07.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,010"	"2,199,161"	"2022-05-06 09:16:07.000"	"2022-05-06 09:16:07.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,011"	"2,199,161"	"2022-05-06 09:16:07.000"	"2022-05-06 09:16:07.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,012"	"2,199,161"	"2022-05-06 09:16:08.000"	"2022-05-06 09:16:08.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,013"	"2,199,161"	"2022-05-06 09:16:09.000"	"2022-05-06 09:16:09.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,014"	"2,199,161"	"2022-05-06 09:16:59.000"	"2022-05-06 09:16:59.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,015"	"2,199,161"	"2022-05-06 09:17:40.000"	"2022-05-06 09:17:40.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,016"	"2,199,161"	"2022-05-06 09:19:15.000"	"2022-05-06 09:19:15.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,017"	"2,199,161"	"2022-05-06 09:20:50.000"	"2022-05-06 09:20:50.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,018"	"2,199,103"	"2022-05-06 09:35:20.000"	"2022-05-06 09:35:20.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,019"	"2,199,103"	"2022-05-06 09:35:20.000"	"2022-05-06 09:35:20.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,020"	"2,199,103"	"2022-05-06 09:35:20.000"	"2022-05-06 09:35:20.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,021"	"2,199,180"	"2022-05-06 09:35:20.000"	"2022-05-06 09:35:20.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,022"	"2,199,180"	"2022-05-06 09:35:20.000"	"2022-05-06 09:35:20.000"	"1"	"SUCCESS"	"[NULL]"	"1"	"0"
"10,023"	"2,199,162"	"2022-05-06 09:35:20.000"	"[NULL]"	"0"	"[NULL]"	"[NULL]"	"0"	"0"
