MSG_ID	MSG_NAME	SOURCE	DESTINATION	LIFE_TIME	SINGLE_INSTANCE	USED	KEEP_HISTORY	MSG_TABLE_NAME	DESCRIPTION	SEND_TAG
"9,920,001"	"INT_CCM_PLAN"	"COM.$BROADCAST"	"CCM1"	"7,200"	"0"	"1"	"86,400"	"INT_CCM_PLAN"	"ccm messages for CCM"	"0"
"2,099,001"	"INT_CCM_HEAT_STATUS"	"CCM1"	"COM.$BROADCAST"	"7,200"	"0"	"1"	"86,400"	"INT_CCM_HEAT_STATUS"	"CCM Heat Status"	"0"
"2,099,002"	"INT_CCM_HEAT_REPORT"	"CCM1"	"COM.$BROADCAST"	"7,200"	"0"	"1"	"86,400"	"INT_CCM_HEAT_REPORT"	"CCM Heat Report"	"0"
"2,099,003"	"INT_CCM_SLAB_REPORT"	"CCM1"	"COM.$BROADCAST"	"7,200"	"0"	"0"	"86,400"	"INT_CCM_SLAB_REPORT"	"CCM Slab Report"	"0"
"2,099,004"	"INT_CCM_SLAB_ROUTING"	"CCM1"	"COM.$BROADCAST"	"7,200"	"0"	"0"	"86,400"	"INT_CCM_SLAB_ROUTING"	"CCM Slab Report"	"0"
"2,299,105"	"GUI_CreateSchedule_Cltn"	"EAF2"	"COM.SCHED"	"7,200"	"0"	"1"	"86,400"	"[NULL]"	"order create"	"0"
"2,199,210"	"L2_LAB_TCP_SEND"	"EAF1.TRCKEAF"	"COM.COM_LAB"	"7,200"	"0"	"0"	"86,400"	"[NULL]"	"eaf sample request"	"0"
"2,299,210"	"L2_LAB_TCP_SEND"	"EAF2.TRCKEAF"	"COM.COM_LAB"	"7,200"	"0"	"0"	"86,400"	"[NULL]"	"eaf sample request"	"0"
"6,199,210"	"L2_LAB_TCP_SEND"	"VOD1.TRCKVOD"	"COM.COM_LAB"	"7,200"	"0"	"0"	"86,400"	"[NULL]"	"vod sample request"	"0"
"2,199,202"	"INT_SAMPLE_RESULT"	"EAF1.TRCKEAF"	"COM.$BROADCAST"	"7,200"	"0"	"1"	"86,400"	"[NULL]"	"heat analysis for CCM"	"0"
"2,299,202"	"INT_SAMPLE_RESULT"	"EAF2.TRCKEAF"	"COM.$BROADCAST"	"7,200"	"0"	"1"	"86,400"	"[NULL]"	"heat status for CCM"	"0"
"6,199,202"	"INT_SAMPLE_RESULT"	"VOD1.TRCKVOD"	"COM.$BROADCAST"	"7,200"	"0"	"1"	"86,400"	"[NULL]"	"heat status for CCM"	"0"
"9,920,005"	"INT_SAMPLE_RESULT"	"COM.$BROADCAST"	"CCM1"	"7,200"	"0"	"1"	"86,400"	"INT_SAMPLE_RESULT"	"heat status for CCM"	"0"
"9,999,202"	"INT_SAMPLE_RESULT"	"COM.TRCKCOM"	"COM.$BROADCAST"	"7,200"	"0"	"1"	"86,400"	"INT_SAMPLE_RESULT"	"heat status for CCM"	"0"
